State,Business,Laws,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Nagaland,Shops & Establishments,"Payment of Wages Act, 1936",,Annual return by 15-Feb,,,,,,,,,,
Nagaland,Shops & Establishments,"Minimum Wages Act, 1948",,Annual return by 01-Feb,,,,,,,,,,
Nagaland,Shops & Establishments,"The Nagaland Shops and Establishments Act, 1982",Annual return by 31-Jan,,,,,,,,,,,
Nagaland,Shops & Establishments,"The Nagaland Professions, Trades, Callings And Employments Taxation Act, 1968",,,,Annual return by 30-Apr,,,,,,,,
Nagaland,Shops & Establishments,"Employees' State Insurance Act, 1948",Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month
Nagaland,Shops & Establishments,"Employees’ Provident Fund and Miscellaneous Provisions Act, 1952",Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month
Nagaland,Shops & Establishments,"Maternity Benefit Act, 1961",Annual return by 21-Jan,,,,,,,,,,,
Nagaland,Shops & Establishments,"Payment of Bonus Act, 1965",Annual return by 30-Dec,,,,,,,,,,,
Nagaland,Shops & Establishments,"Payment of Gratuity Act, 1972",,,,,,,,,,,,
Nagaland,Shops & Establishments,"Contract Labour (Regulation & Abolition) Act, 1970",,Annual return by 15-Feb,,,,,,,,,,
Nagaland,Shops & Establishments,"Child Labour (Prohibition and Regulation) Act, 1986",,,,,,Annual return by 30-Jun,,,,,,
Nagaland,Shops & Establishments,"Sexual Harassment of Women at Workplace (Prevention, Prohibition and Redressal) Act, 2013",Annual report by 31-Jan,,,,,,,,,,,
Nagaland,Shops & Establishments,"The Rights of Persons with Disabilities Act, 2016",Annual return by 31-Jan,,,,,,,,,,,
Nagaland,Shops & Establishments,"The Employment Exchanges (Compulsory Notification of Vacancies) Act, 1959",Quarterly return (ER1) by 30-Jan,,Biannual return (ER2) by 30-Mar,Quarterly return (ER1) by 30-Apr,,,Quarterly return (ER1) by 30-Jul,,,Quarterly return (ER1) by 30-Oct,,
Nagaland,Shops & Establishments,"The Inter-State Migrant Workmen Act, 1979",Annual return by 31-Jan,,,,,,,,,,,
