State,Business,Laws,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Goa,Shops & Establishments,"Payment of Wages Act, 1936",,Annual return by 15-Feb,,,,,,,,,,
Goa,Shops & Establishments,"Minimum Wages Act, 1948",,Annual return by 01-Feb,,,,,,,,,,
Goa,Shops & Establishments,"the Goa Shops & Establishments Act, 1973",Quarterly Return by 09-Jan,,,Quarterly Return by 09-Apr,,,Quarterly Return by 09-Jul,,,Quarterly Return by 09-Oct,,
Goa,Shops & Establishments,"The Goa Labour Welfare Fund Act, 1986",,,,,,,Half-yearly return by 31-Jul,,,,,Half-yearly return by 31-Dec
Goa,Shops & Establishments,"Employees' State Insurance Act, 1948",Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month
Goa,Shops & Establishments,"Employees’ Provident Fund and Miscellaneous Provisions Act, 1952",Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month
Goa,Shops & Establishments,"Maternity Benefit Act, 1961",Annual return by 21-Jan,,,,,,,,,,,
Goa,Shops & Establishments,"Payment of Bonus Act, 1965",Annual return by 30-Dec,,,,,,,,,,,
Goa,Shops & Establishments,"Payment of Gratuity Act, 1972",,,,,,,,,,,,
Goa,Shops & Establishments,"Contract Labour (Regulation & Abolition) Act, 1970",,Annual return by 15-Feb,,,,,,,,,,
Goa,Shops & Establishments,"Child Labour (Prohibition and Regulation) Act, 1986",,,,,,Annual return by 30-Jun,,,,,,
Goa,Shops & Establishments,"Sexual Harassment of Women at Workplace (Prevention, Prohibition and Redressal) Act, 2013",Annual report by 31-Jan,,,,,,,,,,,
Goa,Shops & Establishments,"The Rights of Persons with Disabilities Act, 2016",Annual return by 31-Jan,,,,,,,,,,,
Goa,Shops & Establishments,"The Employment Exchanges (Compulsory Notification of Vacancies) Act, 1959",Quarterly return (ER1) by 30-Jan,,Biannual return (ER2) by 30-Mar,Quarterly return (ER1) by 30-Apr,,,Quarterly return (ER1) by 30-Jul,,,Quarterly return (ER1) by 30-Oct,,
Goa,Shops & Establishments,"The Inter-State Migrant Workmen Act, 1979",Annual return by 31-Jan,,,,,,,,,,,
