State,Business,Laws,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Gujarat,Factories,"Payment of Wages Act, 1936",Integrated online return by 31-Jan,,,,,,,,,,,
Gujarat,Factories,"Minimum Wages Act, 1948",Integrated online return by 31-Jan,,,,,,,,,,,
Gujarat,Factories,"The Gujarat Shops and Establishments Act, 2019",Integrated online return by 31-Jan,,,,,,,,,,,
Gujarat,Factories,"The Gujarat State Tax on Professions, Trades, Callings and Employment Act, 1976",Monthly return by 15th of month,Monthly return by 15th of month,Monthly return by 15th of month,Monthly return by 15th of month,Monthly return by 15th of month,Monthly return by 15th of month,Monthly return by 15th of month,Monthly return by 15th of month,Monthly return by 15th of month,Monthly return by 15th of month,Monthly return by 15th of month,Monthly return by 15th of month
Gujarat,Factories,"The Gujarat Labour Welfare Fund Act, 1953",Half-yearly return by 31-Jan,,,,,,Half-yearly return by 31-Jul,,,,,
Gujarat,Factories,"Employees' State Insurance Act, 1948",Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month
Gujarat,Factories,"Employees’ Provident Fund and Miscellaneous Provisions Act, 1952",Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month
Gujarat,Factories,"Maternity Benefit Act, 1961",Integrated online return by 31-Jan,,,,,,,,,,,
Gujarat,Factories,"Payment of Bonus Act, 1965",Annual return by 30-Dec,,,,,,,,,,,
Gujarat,Factories,"Payment of Gratuity Act, 1972",,,,,,,,,,,,
Gujarat,Factories,"Contract Labour (Regulation & Abolition) Act, 1970",Integrated online return by 31-Jan,,,,,,,,,,,
Gujarat,Factories,"Child Labour (Prohibition and Regulation) Act, 1986",,,,,,Annual return by 30-Jun,,,,,,
Gujarat,Factories,"Sexual Harassment of Women at Workplace (Prevention, Prohibition and Redressal) Act, 2013",Integrated online return by 31-Jan,,,,,,,,,,,
Gujarat,Factories,"The Rights of Persons with Disabilities Act, 2016",Annual return by 31-Jan,,,,,,,,,,,
Gujarat,Factories,"The Employment Exchanges (Compulsory Notification of Vacancies) Act, 1959",Quarterly return (ER1) by 30-Jan,,Biannual return (ER2) by 30-Mar,Quarterly return (ER1) by 30-Apr,,,Quarterly return (ER1) by 30-Jul,,,Quarterly return (ER1) by 30-Oct,,
Gujarat,Factories,"The Inter-State Migrant Workmen Act, 1979",Annual return by 31-Jan,,,,,,,,,,,
