State,Business,Laws,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Arunachal Pradesh,Factories,"Payment of Wages Act, 1936",,Annual return by 15-Feb,,,,,,,,,,
Arunachal Pradesh,Factories,"Minimum Wages Act, 1948",,Annual return by 01-Feb,,,,,,,,,,
Arunachal Pradesh,Factories,"Employees' State Insurance Act, 1948",Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month
Arunachal Pradesh,Factories,"Employees’ Provident Fund and Miscellaneous Provisions Act, 1952",Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month
Arunachal Pradesh,Factories,"Maternity Benefit Act, 1961",Annual return by 21-Jan,,,,,,,,,,,
Arunachal Pradesh,Factories,"Payment of Bonus Act, 1965",Annual return by 30-Dec,,,,,,,,,,,
Arunachal Pradesh,Factories,"Payment of Gratuity Act, 1972",,,,,,,,,,,,
Arunachal Pradesh,Factories,"Contract Labour (Regulation & Abolition) Act, 1970",,Annual return by 15-Feb,,,,,,,,,,
Arunachal Pradesh,Factories,"Child Labour (Prohibition and Regulation) Act, 1986",,,,,,,,,,,,
Arunachal Pradesh,Factories,"Building and Other Construction Workers’ Act, 1996",,,,,Annual return by 15-May,,,,,,,
Arunachal Pradesh,Factories,"Sexual Harassment of Women at Workplace (Prevention, Prohibition and Redressal) Act, 2013",Annual report by 31-Jan,,,,,,,,,,,
Arunachal Pradesh,Factories,"The Rights of Persons with Disabilities Act, 2016",Annual return by 31-Jan,,,,,,,,,,,
Arunachal Pradesh,Factories,"Maharashtra Workmen's Minimum House Rent Allowance Act, 1983",,,,,,,,,,,,
Arunachal Pradesh,Factories,"Karnataka Compulsory Gratuity Insurance Rules, 2024",,,,,,,,,,,,
Arunachal Pradesh,Factories,"Exemption for IT/ITES from Industrial Employment (Standing Orders) Act, 1946",,,,,,,,,,,,
Arunachal Pradesh,Factories,"Employment Exchanges (Compulsory Notification of Vacancies) Act, 1959",,,,,,,,,,,,
Arunachal Pradesh,Factories,"Apprentices Act, 1961",,,,,,,,,,,,
Arunachal Pradesh,Factories,"The Inter-State Migrant Workmen Act, 1979",,,,,,,,,,,,
