State,Business,Laws,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Odisha,Factories,"Payment of Wages Act, 1936",,Annual return by 15-Feb,,,,,,,,,,
Odisha,Factories,"Minimum Wages Act, 1948",,Annual return by 01-Feb,,,,,,,,,,
Odisha,Factories,"The Odisha Shops and Commercial Establishments Act, 1956",,,,,,,,,,,,Combined Annual Return by 31-Dec
Odisha,Factories,"Odisha State Tax on Professions, Trades, Callings and Employments Act, 2000",,,,,,Annual return by 30-Jun,,,,,,
Odisha,Factories,"The Odisha Labour Welfare Fund Act, 1996",Half-yearly return by 15-Jan,,,,,,Half-yearly return by 15-Jul,,,,,
Odisha,Factories,"Employees' State Insurance Act, 1948",Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month
Odisha,Factories,"Employees’ Provident Fund and Miscellaneous Provisions Act, 1952",Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month,Monthly challan by 15th of month
Odisha,Factories,"Maternity Benefit Act, 1961",Annual return by 21-Jan,,,,,,,,,,,
Odisha,Factories,"Payment of Bonus Act, 1965",Annual return by 30-Dec,,,,,,,,,,,
Odisha,Factories,"Payment of Gratuity Act, 1972",,,,,,,,,,,,
Odisha,Factories,"Contract Labour (Regulation & Abolition) Act, 1970",,,,,,,,,,,,Combined Annual Return by 31-Dec
Odisha,Factories,"Child Labour (Prohibition and Regulation) Act, 1986",,,,,,Annual return by 30-Jun,,,,,,
Odisha,Factories,"Building and Other Construction Workers’ Act, 1996",,,,,Annual return by 15-May,,,,,,,
Odisha,Factories,"Sexual Harassment of Women at Workplace (Prevention, Prohibition and Redressal) Act, 2013",Annual report by 31-Jan,,,,,,,,,,,
Odisha,Factories,"The Rights of Persons with Disabilities Act, 2016",Annual return by 31-Jan,,,,,,,,,,,
Odisha,Factories,"The Employment Exchanges (Compulsory Notification of Vacancies) Act, 1959",Quarterly return (ER1) by 30-Jan,,Biannual return (ER2) by 30-Mar,Quarterly return (ER1) by 30-Apr,,,Quarterly return (ER1) by 30-Jul,,,Quarterly return (ER1) by 30-Oct,,
Odisha,Factories,"The Inter-State Migrant Workmen Act, 1979",,,,,,,,,,,,Combined Annual Return by 31-Dec
